Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Croydon,Coulsdon East,44,1597.4,76,4912,52750,6.4,18.2,12.8,483,39.3,20,4.3,56.8
Croydon,Coulsdon West,41,2700.0,117,4793,58380,5.7,15.1,8.3,569,42.1,19,3.8,17.1
Croydon,Croham,35,4528.6,456,6999,52180,7.0,12.0,12.1,1147,72.4,57,3.5,19.1
Croydon,Fairfield,33,4381.6,1071,7837,47920,8.1,12.3,16.9,4374,262.7,382,4.1,17.5
Croydon,Fieldway,28,7666.7,163,3987,32760,15.6,34.4,36.2,734,63.8,51,6.5,22.8
Croydon,Heathfield,40,1523.0,151,5448,48780,6.4,17.2,18.0,1102,83.2,62,4.1,61.3
Croydon,Kenley,39,2315.4,176,5881,54850,6.6,14.6,12.9,583,38.7,19,3.7,39.6
Croydon,New Addington,34,4520.8,121,4009,35060,11.7,34.8,31.0,926,85.3,55,6.2,31.2
Croydon,Norbury,35,6620.0,790,6055,44870,9.1,16.2,19.8,1168,70.6,95,4.6,16.1
Croydon,Purley,38,3488.1,283,5696,55480,5.7,12.9,12.1,1189,81.2,53,3.8,3.8
Croydon,Sanderstead,43,2039.7,82,4869,59000,5.6,15.1,8.1,495,38.5,26,3.7,48.6
Croydon,Selhurst,32,7891.3,859,7462,37920,12.3,18.9,26.1,2307,127.1,242,5.9,18.3
Croydon,Selsdon and Ballards,45,1835.9,100,4471,56510,4.5,15.2,7.1,475,40.4,24,3.4,55.2
Croydon,Shirley,40,5125.0,218,5586,48410,7.6,19.1,19.3,561,39.1,24,4.3,16.0
Croydon,South Norwood,35,6916.7,634,7724,41840,11.7,15.9,26.6,1568,94.5,141,4.8,17.5
Croydon,Thornton Heath,34,9764.7,619,6571,40960,12.7,18.7,23.5,1481,89.2,129,4.7,11.2
Croydon,Upper Norwood,35,6211.5,582,6497,45670,9.8,16.6,22.9,1277,79.1,78,4.5,19.5
Croydon,Waddon,34,4763.9,634,7106,42100,8.9,19.1,25.7,1412,82.3,87,5.1,32.6
Croydon,West Thornton,32,8775.0,923,6108,39350,11.4,17.9,21.8,2002,114.1,138,5.1,17.7
Croydon,Woodside,33,7636.4,440,6933,41170,11.8,17.1,26.6,1297,77.2,132,4.6,33.3
